,Unnamed: 0,ZIP,LAT,LNG,state_abbr,county,city
15270,15270,46795,41.553974,-85.330905,IN,Lagrange,Wolcottville
15271,15271,46797,41.128395,-84.85898,IN,Allen,Woodburn
15272,15272,46798,40.938582,-85.214712,IN,Allen,Yoder
15273,15273,46799,40.911504,-85.285755,IN,Wells,Zanesville
15274,15274,46802,41.069304,-85.16516,IN,Allen,Fort wayne
15275,15275,46803,41.069874,-85.088544,IN,Allen,Fort wayne
15276,15276,46804,41.052918,-85.24165,IN,Allen,Fort wayne
15277,15277,46805,41.10011,-85.117711,IN,Allen,Fort wayne
15278,15278,46806,41.046823,-85.088361,IN,Allen,Fort wayne
15279,15279,46807,41.044893,-85.147602,IN,Allen,Fort wayne
15280,15280,46808,41.097775,-85.177021,IN,Allen,Fort wayne
15281,15281,46809,40.998405,-85.205235,IN,Allen,Fort wayne
15282,15282,46814,41.050882,-85.299234,IN,Allen,Fort wayne
15283,15283,46815,41.102735,-85.058629,IN,Allen,Fort wayne
15284,15284,46816,41.000785,-85.036179,IN,Allen,Fort wayne
15285,15285,46818,41.155856,-85.253014,IN,Allen,Fort wayne
15286,15286,46819,40.974587,-85.133593,IN,Allen,Fort wayne
15287,15287,46825,41.152413,-85.127091,IN,Allen,Fort wayne
15288,15288,46835,41.15298,-85.0408,IN,Allen,Fort wayne
15289,15289,46845,41.211995,-85.108804,IN,Allen,Fort wayne
15290,15290,46901,40.531266,-86.169537,IN,Howard,Kokomo
15291,15291,46902,40.437275,-86.094553,IN,Howard,Kokomo
15292,15292,46910,41.043832,-86.036308,IN,Fulton,Akron
15293,15293,46911,40.637417,-85.945821,IN,Miami,Amboy
15294,15294,46913,40.503001,-86.503452,IN,Carroll,Bringhurst
15295,15295,46914,40.628598,-86.094769,IN,Miami,Bunker hill
15296,15296,46915,40.477734,-86.38659,,,
15297,15297,46917,40.626869,-86.475047,IN,Carroll,Camden
15298,15298,46919,40.594183,-85.869644,IN,Miami,Converse
15299,15299,46920,40.464409,-86.494811,IN,Carroll,Cutler
15300,15300,46922,41.13813,-86.413626,,,
15301,15301,46923,40.610524,-86.637989,IN,Carroll,Delphi
15302,15302,46926,40.887938,-86.049986,IN,Miami,Chili
15303,15303,46928,40.405898,-85.682305,IN,Grant,Fairmount
15304,15304,46929,40.554751,-86.476386,IN,Carroll,Flora
15305,15305,46930,40.407335,-85.571487,IN,Grant,Fowlerton
15306,15306,46931,40.947539,-86.26427,IN,Fulton,Fulton
15307,15307,46932,40.597241,-86.250469,IN,Cass,Galveston
15308,15308,46933,40.479845,-85.582288,IN,Grant,Gas city
15309,15309,46936,40.484302,-85.927782,IN,Howard,Greentown
15310,15310,46938,40.459646,-85.626941,IN,Grant,Jonesboro
15311,15311,46939,40.992876,-86.400545,IN,Fulton,Kewanna
15312,15312,46940,40.690906,-85.689231,IN,Wabash,La fontaine
15313,15313,46941,40.823115,-85.688947,IN,Wabash,Lagro
15314,15314,46943,40.975386,-85.84293,IN,Wabash,Laketon
15315,15315,46946,41.04043,-85.728422,IN,Wabash,Liberty mills
15316,15316,46947,40.759919,-86.376113,IN,Cass,Logansport
15317,15317,46950,40.888204,-86.364948,IN,Cass,Lucerne
15318,15318,46951,40.947573,-86.105392,IN,Miami,Macy
15319,15319,46952,40.599427,-85.629225,IN,Grant,Marion
15320,15320,46953,40.519395,-85.645026,IN,Grant,Marion
15321,15321,46957,40.388298,-85.495962,IN,Grant,Matthews
15322,15322,46958,40.821933,-86.117007,IN,Miami,Mexico
15323,15323,46959,40.620859,-86.107153,IN,Miami,Miami
15324,15324,46960,41.161352,-86.535546,IN,Pulaski,Monterey
15325,15325,46961,40.76651,-86.191686,IN,Cass,New waverly
15326,15326,46962,40.988512,-85.768369,IN,Wabash,North manchester
15327,15327,46967,40.694682,-86.195106,,,
15328,15328,46968,41.175341,-86.546361,IN,Starke,Ora
15329,15329,46970,40.760125,-86.061471,IN,Miami,Peru
15330,15330,46974,40.951906,-85.933516,IN,Wabash,Roann
15331,15331,46975,41.075438,-86.250139,IN,Fulton,Rochester
15332,15332,46978,40.856627,-86.512501,IN,Cass,Royal center
