AQSID,SiteName,Latitude,Longitude,CountyName,parameter name
60192009,Tranquillity,36.6324,-120.3822,FRESNO,"['OZONE', 'PM2.5']"
60192016,Fresno-Foundry Park,36.71088,-119.77743,FRESNO,"['NO2', 'PM2.5']"
60193002,Parlier,36.6103,-119.5375,FRESNO,"['NO2', 'OZONE']"
60195025,Fresno-Pacific,36.72622,-119.73249,FRESNO,['PM2.5']
60199999,Pinehurst,36.6972,-119.0189,FRESNO,"['PM10', 'OZONE', 'PM2.5']"
60210003,Willows-Colusa,39.53387,-122.190834,GLENN,"['PM10', 'OZONE', 'PM2.5']"
60231004,Jacobs,40.776943,-124.177498,HUMBOLDT,['PM10']
60270002,NCORE - Bishop,37.360701,-118.330835,INYO,"['CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
60270004,Lone Pine,36.609,-118.0578,INYO,['PM10']
60270021,Olancha,36.2676,-117.993,INYO,['PM10']
60270022,Dirty Socks,36.3261,-117.9551,INYO,['PM10']
60270025,Shell Cut,36.3663,-117.8976,INYO,['PM10']
60270026,Bill Stanley,36.3619,-118.0108,INYO,['PM10']
60270028,Lizard Tail,36.5432,-117.9418,INYO,['PM10']
60270029,North Beach,36.542233,-117.990055,INYO,['PM10']
60270030,Mill Site,36.4581,-117.8519,INYO,['PM10']
60270101,Death Valley NP,36.5092,-116.8481,INYO,['OZONE']
60271001,Coso Junction,36.0494,-117.9439,INYO,['PM10']
60271003,Keeler,36.4878,-117.871,INYO,"['PM10', 'PM2.5']"
60290007,Edison,35.345607,-118.851825,KERN,"['NO2', 'OZONE']"
60290020,Mojave - Pat Ave,35.04944,-118.18893,KERN,"['PM10', 'OZONE', 'PM2.5']"
60292009,Lebec,34.8416,-118.8647,KERN,['PM2.5']
60292012,Bakersfield-Muni,35.3313,-119,KERN,"['CO', 'NO2', 'OZONE']"
60292019,Bakersfield-Westwind,35.377,-119.044028,KERN,['NO2']
60310004,Corcoran,36.102219,-119.566002,KINGS,"['PM10', 'PM2.5']"
60370016,Glendora - Laurel,34.1439,-117.8508,LOS ANGELES,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
60371201,Reseda,34.1992,-118.5331,LOS ANGELES,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60371302,Compton,33.9014,-118.205,LOS ANGELES,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60371601,Pico Rivera,34.0131,-118.059196,LOS ANGELES,"['CO', 'NO2', 'OZONE']"
60371701,Pomona,34.0667,-117.7506,LOS ANGELES,"['CO', 'NO2', 'OZONE']"
60372005,Pasadena,34.13263,-118.127142,LOS ANGELES,"['CO', 'NO2', 'OZONE']"
60374008,710 Near Road,33.859662,-118.200707,LOS ANGELES,['NO2']
60374010,North Holywood,34.181977,-118.363036,LOS ANGELES,"['NO2', 'OZONE', 'PM2.5']"
60376012,Santa Clarita,34.3833,-118.5283,LOS ANGELES,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60390004,Madera - Pump Yard,36.8669,-120.01,MADERA,['OZONE']
60392010,Madera-City,36.9533,-120.0341,MADERA,"['PM10', 'OZONE', 'PM2.5']"
60410001,San Rafael,37.9722,-122.5189,MARIN,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60450006,Ukiah Library,39.150478,-123.206528,MENDOCINO,['PM2.5']
60452003,Willits Blosser Lane,39.39861,-123.35872,MENDOCINO,['PM2.5']
60472510,Merced-M St,37.30833,-120.480361,MERCED,"['PM10', 'PM2.5']"
60510001,Mammoth Lakes,37.645718,-118.966515,MONO,['PM10']
60510005,Lee Vining,37.962069,-119.120278,MONO,"['PM10', 'PM2.5']"
60530002,Carmel Valley AMS,36.48187,-121.73333,MONTEREY,"['OZONE', 'PM2.5']"
60530008,King City AMS,36.209286,-121.126371,MONTEREY,"['PM10', 'OZONE', 'PM2.5']"
60531003,Salinas AMS,36.694261,-121.623271,MONTEREY,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60539975,Greenfield,36.326972,-121.245819,MONTEREY,"['OZONE', 'PM2.5']"
60570005,Grass Valley,39.234402,-121.055603,NEVADA,"['OZONE', 'PM2.5']"
60571001,Truckee BAM,39.3386,-120.170303,NEVADA,['PM2.5']
60590007,Anaheim,33.830586,-117.938509,ORANGE,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
60590008,Anaheim Near Road,33.819305,-117.918759,ORANGE,"['NO2', 'CO']"
60595001,La Habra,33.925062,-117.952586,ORANGE,"['CO', 'NO2', 'OZONE']"
60610002,Auburn,38.937801,-121.103897,PLACER,"['OZONE', 'PM2.5']"
60610004,Colfax,39.1003,-120.9528,PLACER,"['OZONE', 'PM2.5']"
60611004,Tahoe City,39.166,-120.1488,PLACER,"['OZONE', 'PM2.5']"
60612001,Lincoln,38.89,-121.3,PLACER,"['OZONE', 'PM2.5']"
60631006,Quincy,39.9395,-120.9443,PLUMAS,['PM2.5']
60631007,Chester BAM,40.301899,-121.235001,PLUMAS,['PM2.5']
60631009,Portola,39.808334,-120.471664,PLUMAS,['PM2.5']
60650009,Pechanga Reservation,33.447867,-117.088649,RIVERSIDE,['OZONE']
60652005,Saul Martinez,33.572019,-116.063823,RIVERSIDE,['PM10']
60658001,Riverside - Rubidoux,33.999449,-117.415831,RIVERSIDE,"['NO2', 'CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
60659003,Blythe,33.61235,-114.60209,RIVERSIDE,['OZONE']
60670011,Elk Grove,38.302591,-121.420838,SACRAMENTO,"['NO2', 'OZONE', 'PM2.5']"
60670012,Folsom,38.683304,-121.164457,SACRAMENTO,"['NO2', 'OZONE', 'PM2.5']"
60670015,Bercut Dr,38.593328,-121.503728,SACRAMENTO,"['NO2', 'CO', 'PM2.5']"
60675003,Sloughhouse,38.494475,-121.211131,SACRAMENTO,"['OZONE', 'PM2.5']"
60690002,Hollister AMS,36.843425,-121.3621,SAN BENITO,"['PM10', 'OZONE', 'PM2.5']"
60690003,Pinnacles NM,36.485001,-121.155602,SAN BENITO,['OZONE']
